Model,Threshold,roc_auc,precision,recall,recall_negative,f1_score,accuracy,true_positives,true_negatives,false_positives,false_negatives,positive_predictions,negative_predictions,positive_prediction_ratio
XGBoost,0.06417085427135678,0.8614030827556935,0.21785714285714286,0.7605985037406484,0.8044293623861404,0.3387007218212104,0.8015,1525,22520,5475,480,7000,23000,0.23333333333333334
Neural Network,0.06909547738693467,0.8609874135878378,0.2219947353027201,0.7571072319201995,0.8099660653688159,0.3433224018998078,0.8064333333333333,1518,22675,5320,487,6838,23162,0.22793333333333332
Random Forest,0.2710050251256282,0.8588892744028481,0.2122386819880936,0.7645885286783043,0.7967494195392034,0.33224967490247076,0.7946,1533,22305,5690,472,7223,22777,0.24076666666666666
Logistic Regression,0.5073869346733668,0.8575777648217374,0.20922276956759717,0.7625935162094764,0.7935702804072156,0.3283582089552239,0.7915,1529,22216,5779,476,7308,22692,0.2436
SVM,0.04447236180904523,0.48210605830485403,0.06784297633702639,0.4947630922693267,0.5131273441686015,0.11932399109881518,0.5119,992,14365,13630,1013,14622,15378,0.4874
